Step,Id,Command,X-R-L,Y-G,Z-B,Yaw-Intensity,Duration
1,1,Goto,0.0,-0.3,1,0,0.042
2,1,Goto,0.016,-0.3,1,0,0.042
3,1,Goto,0.031,-0.298,1,0,0.042
4,1,Goto,0.047,-0.296,1,0,0.042
5,1,Goto,0.062,-0.293,1,0,0.042
6,1,Goto,0.078,-0.29,1,0,0.042
7,1,Goto,0.093,-0.285,1,0,0.042
8,1,Goto,0.108,-0.28,1,0,0.042
9,1,Goto,0.122,-0.274,1,0,0.042
10,1,Goto,0.136,-0.267,1,0,0.042
11,1,Goto,0.15,-0.26,1,0,0.042
12,1,Goto,0.163,-0.252,1,0,0.042
13,1,Goto,0.176,-0.243,1,0,0.042
14,1,Goto,0.189,-0.233,1,0,0.042
15,1,Goto,0.201,-0.223,1,0,0.042
16,1,Goto,0.212,-0.212,1,0,0.042
17,1,Goto,0.223,-0.201,1,0,0.042
18,1,Goto,0.233,-0.189,1,0,0.042
19,1,Goto,0.243,-0.176,1,0,0.042
20,1,Goto,0.252,-0.163,1,0,0.042
21,1,Goto,0.26,-0.15,1,0,0.042
22,1,Goto,0.267,-0.136,1,0,0.042
23,1,Goto,0.274,-0.122,1,0,0.042
24,1,Goto,0.28,-0.108,1,0,0.042
25,1,Goto,0.285,-0.093,1,0,0.042
26,1,Goto,0.29,-0.078,1,0,0.042
27,1,Goto,0.293,-0.062,1,0,0.042
28,1,Goto,0.296,-0.047,1,0,0.042
29,1,Goto,0.298,-0.031,1,0,0.042
30,1,Goto,0.3,-0.016,1,0,0.042
31,1,Goto,0.3,0.0,1,0,0.042
32,1,Goto,0.3,0.016,1,0,0.042
33,1,Goto,0.298,0.031,1,0,0.042
34,1,Goto,0.296,0.047,1,0,0.042
35,1,Goto,0.293,0.062,1,0,0.042
36,1,Goto,0.29,0.078,1,0,0.042
37,1,Goto,0.285,0.093,1,0,0.042
38,1,Goto,0.28,0.108,1,0,0.042
39,1,Goto,0.274,0.122,1,0,0.042
40,1,Goto,0.267,0.136,1,0,0.042
41,1,Goto,0.26,0.15,1,0,0.042
42,1,Goto,0.252,0.163,1,0,0.042
43,1,Goto,0.243,0.176,1,0,0.042
44,1,Goto,0.233,0.189,1,0,0.042
45,1,Goto,0.223,0.201,1,0,0.042
46,1,Goto,0.212,0.212,1,0,0.042
47,1,Goto,0.201,0.223,1,0,0.042
48,1,Goto,0.189,0.233,1,0,0.042
49,1,Goto,0.176,0.243,1,0,0.042
50,1,Goto,0.163,0.252,1,0,0.042
51,1,Goto,0.15,0.26,1,0,0.042
52,1,Goto,0.136,0.267,1,0,0.042
53,1,Goto,0.122,0.274,1,0,0.042
54,1,Goto,0.108,0.28,1,0,0.042
55,1,Goto,0.093,0.285,1,0,0.042
56,1,Goto,0.078,0.29,1,0,0.042
57,1,Goto,0.062,0.293,1,0,0.042
58,1,Goto,0.047,0.296,1,0,0.042
59,1,Goto,0.031,0.298,1,0,0.042
60,1,Goto,0.016,0.3,1,0,0.042
61,1,Goto,0.0,0.3,1,0,0.042
62,1,Goto,-0.016,0.3,1,0,0.042
63,1,Goto,-0.031,0.298,1,0,0.042
64,1,Goto,-0.047,0.296,1,0,0.042
65,1,Goto,-0.062,0.293,1,0,0.042
66,1,Goto,-0.078,0.29,1,0,0.042
67,1,Goto,-0.093,0.285,1,0,0.042
68,1,Goto,-0.108,0.28,1,0,0.042
69,1,Goto,-0.122,0.274,1,0,0.042
70,1,Goto,-0.136,0.267,1,0,0.042
71,1,Goto,-0.15,0.26,1,0,0.042
72,1,Goto,-0.163,0.252,1,0,0.042
73,1,Goto,-0.176,0.243,1,0,0.042
74,1,Goto,-0.189,0.233,1,0,0.042
75,1,Goto,-0.201,0.223,1,0,0.042
76,1,Goto,-0.212,0.212,1,0,0.042
77,1,Goto,-0.223,0.201,1,0,0.042
78,1,Goto,-0.233,0.189,1,0,0.042
79,1,Goto,-0.243,0.176,1,0,0.042
80,1,Goto,-0.252,0.163,1,0,0.042
81,1,Goto,-0.26,0.15,1,0,0.042
82,1,Goto,-0.267,0.136,1,0,0.042
83,1,Goto,-0.274,0.122,1,0,0.042
84,1,Goto,-0.28,0.108,1,0,0.042
85,1,Goto,-0.285,0.093,1,0,0.042
86,1,Goto,-0.29,0.078,1,0,0.042
87,1,Goto,-0.293,0.062,1,0,0.042
88,1,Goto,-0.296,0.047,1,0,0.042
89,1,Goto,-0.298,0.031,1,0,0.042
90,1,Goto,-0.3,0.016,1,0,0.042
91,1,Goto,-0.3,0.0,1,0,0.042
92,1,Goto,-0.3,-0.016,1,0,0.042
93,1,Goto,-0.298,-0.031,1,0,0.042
94,1,Goto,-0.296,-0.047,1,0,0.042
95,1,Goto,-0.293,-0.062,1,0,0.042
96,1,Goto,-0.29,-0.078,1,0,0.042
97,1,Goto,-0.285,-0.093,1,0,0.042
98,1,Goto,-0.28,-0.108,1,0,0.042
99,1,Goto,-0.274,-0.122,1,0,0.042
100,1,Goto,-0.267,-0.136,1,0,0.042
101,1,Goto,-0.26,-0.15,1,0,0.042
102,1,Goto,-0.252,-0.163,1,0,0.042
103,1,Goto,-0.243,-0.176,1,0,0.042
104,1,Goto,-0.233,-0.189,1,0,0.042
105,1,Goto,-0.223,-0.201,1,0,0.042
106,1,Goto,-0.212,-0.212,1,0,0.042
107,1,Goto,-0.201,-0.223,1,0,0.042
108,1,Goto,-0.189,-0.233,1,0,0.042
109,1,Goto,-0.176,-0.243,1,0,0.042
110,1,Goto,-0.163,-0.252,1,0,0.042
111,1,Goto,-0.15,-0.26,1,0,0.042
112,1,Goto,-0.136,-0.267,1,0,0.042
113,1,Goto,-0.122,-0.274,1,0,0.042
114,1,Goto,-0.108,-0.28,1,0,0.042
115,1,Goto,-0.093,-0.285,1,0,0.042
116,1,Goto,-0.078,-0.29,1,0,0.042
117,1,Goto,-0.062,-0.293,1,0,0.042
118,1,Goto,-0.047,-0.296,1,0,0.042
119,1,Goto,-0.031,-0.298,1,0,0.042
120,1,Goto,-0.016,-0.3,1,0,0.042
121,1,Goto,0.0,-0.3,1,0,0.042
