Step,Id,Command,X-R-L,Y-G,Z-B,Yaw-Intensity,Duration
1,1,Goto,2.121,2.121,3,0,0.042
2,1,Goto,2.065,2.176,3,0,0.042
3,1,Goto,2.007,2.229,3,0,0.042
4,1,Goto,1.948,2.281,3,0,0.042
5,1,Goto,1.888,2.331,3,0,0.042
6,1,Goto,1.826,2.38,3,0,0.042
7,1,Goto,1.763,2.427,3,0,0.042
8,1,Goto,1.699,2.472,3,0,0.042
9,1,Goto,1.634,2.516,3,0,0.042
10,1,Goto,1.567,2.558,3,0,0.042
11,1,Goto,1.5,2.598,3,0,0.042
12,1,Goto,1.431,2.636,3,0,0.042
13,1,Goto,1.362,2.673,3,0,0.042
14,1,Goto,1.292,2.708,3,0,0.042
15,1,Goto,1.22,2.741,3,0,0.042
16,1,Goto,1.148,2.772,3,0,0.042
17,1,Goto,1.075,2.801,3,0,0.042
18,1,Goto,1.001,2.828,3,0,0.042
19,1,Goto,0.927,2.853,3,0,0.042
20,1,Goto,0.852,2.876,3,0,0.042
21,1,Goto,0.776,2.898,3,0,0.042
22,1,Goto,0.7,2.917,3,0,0.042
23,1,Goto,0.624,2.934,3,0,0.042
24,1,Goto,0.547,2.95,3,0,0.042
25,1,Goto,0.469,2.963,3,0,0.042
26,1,Goto,0.392,2.974,3,0,0.042
27,1,Goto,0.314,2.984,3,0,0.042
28,1,Goto,0.235,2.991,3,0,0.042
29,1,Goto,0.157,2.996,3,0,0.042
30,1,Goto,0.079,2.999,3,0,0.042
31,1,Goto,0.0,3.0,3,0,0.042
32,1,Goto,-0.079,2.999,3,0,0.042
33,1,Goto,-0.157,2.996,3,0,0.042
34,1,Goto,-0.235,2.991,3,0,0.042
35,1,Goto,-0.314,2.984,3,0,0.042
36,1,Goto,-0.392,2.974,3,0,0.042
37,1,Goto,-0.469,2.963,3,0,0.042
38,1,Goto,-0.547,2.95,3,0,0.042
39,1,Goto,-0.624,2.934,3,0,0.042
40,1,Goto,-0.7,2.917,3,0,0.042
41,1,Goto,-0.776,2.898,3,0,0.042
42,1,Goto,-0.852,2.876,3,0,0.042
43,1,Goto,-0.927,2.853,3,0,0.042
44,1,Goto,-1.001,2.828,3,0,0.042
45,1,Goto,-1.075,2.801,3,0,0.042
46,1,Goto,-1.148,2.772,3,0,0.042
47,1,Goto,-1.22,2.741,3,0,0.042
48,1,Goto,-1.292,2.708,3,0,0.042
49,1,Goto,-1.362,2.673,3,0,0.042
50,1,Goto,-1.431,2.636,3,0,0.042
51,1,Goto,-1.5,2.598,3,0,0.042
52,1,Goto,-1.567,2.558,3,0,0.042
53,1,Goto,-1.634,2.516,3,0,0.042
54,1,Goto,-1.699,2.472,3,0,0.042
55,1,Goto,-1.763,2.427,3,0,0.042
56,1,Goto,-1.826,2.38,3,0,0.042
57,1,Goto,-1.888,2.331,3,0,0.042
58,1,Goto,-1.948,2.281,3,0,0.042
59,1,Goto,-2.007,2.229,3,0,0.042
60,1,Goto,-2.065,2.176,3,0,0.042
61,1,Goto,-2.121,2.121,3,0,0.042
62,1,Goto,-2.176,2.065,3,0,0.042
63,1,Goto,-2.229,2.007,3,0,0.042
64,1,Goto,-2.281,1.948,3,0,0.042
65,1,Goto,-2.331,1.888,3,0,0.042
66,1,Goto,-2.38,1.826,3,0,0.042
67,1,Goto,-2.427,1.763,3,0,0.042
68,1,Goto,-2.472,1.699,3,0,0.042
69,1,Goto,-2.516,1.634,3,0,0.042
70,1,Goto,-2.558,1.567,3,0,0.042
71,1,Goto,-2.598,1.5,3,0,0.042
72,1,Goto,-2.636,1.431,3,0,0.042
73,1,Goto,-2.673,1.362,3,0,0.042
74,1,Goto,-2.708,1.292,3,0,0.042
75,1,Goto,-2.741,1.22,3,0,0.042
76,1,Goto,-2.772,1.148,3,0,0.042
77,1,Goto,-2.801,1.075,3,0,0.042
78,1,Goto,-2.828,1.001,3,0,0.042
79,1,Goto,-2.853,0.927,3,0,0.042
80,1,Goto,-2.876,0.852,3,0,0.042
81,1,Goto,-2.898,0.776,3,0,0.042
82,1,Goto,-2.917,0.7,3,0,0.042
83,1,Goto,-2.934,0.624,3,0,0.042
84,1,Goto,-2.95,0.547,3,0,0.042
85,1,Goto,-2.963,0.469,3,0,0.042
86,1,Goto,-2.974,0.392,3,0,0.042
87,1,Goto,-2.984,0.314,3,0,0.042
88,1,Goto,-2.991,0.235,3,0,0.042
89,1,Goto,-2.996,0.157,3,0,0.042
90,1,Goto,-2.999,0.079,3,0,0.042
91,1,Goto,-3.0,0.0,3,0,0.042
92,1,Goto,-2.999,-0.079,3,0,0.042
93,1,Goto,-2.996,-0.157,3,0,0.042
94,1,Goto,-2.991,-0.235,3,0,0.042
95,1,Goto,-2.984,-0.314,3,0,0.042
96,1,Goto,-2.974,-0.392,3,0,0.042
97,1,Goto,-2.963,-0.469,3,0,0.042
98,1,Goto,-2.95,-0.547,3,0,0.042
99,1,Goto,-2.934,-0.624,3,0,0.042
100,1,Goto,-2.917,-0.7,3,0,0.042
101,1,Goto,-2.898,-0.776,3,0,0.042
102,1,Goto,-2.876,-0.852,3,0,0.042
103,1,Goto,-2.853,-0.927,3,0,0.042
104,1,Goto,-2.828,-1.001,3,0,0.042
105,1,Goto,-2.801,-1.075,3,0,0.042
106,1,Goto,-2.772,-1.148,3,0,0.042
107,1,Goto,-2.741,-1.22,3,0,0.042
108,1,Goto,-2.708,-1.292,3,0,0.042
109,1,Goto,-2.673,-1.362,3,0,0.042
110,1,Goto,-2.636,-1.431,3,0,0.042
111,1,Goto,-2.598,-1.5,3,0,0.042
