Step,Id,Command,X-R-L,Y-G,Z-B,Yaw-Intensity,Duration
0.0,11.0,Ring,0.0,0.0,255.0,1.0,0.0
0.0,10.0,Ring,0.0,0.0,255.0,1.0,0.0
0.0,15.0,Ring,0.0,0.0,255.0,1.0,0.0
0.0,14.0,Ring,0.0,0.0,255.0,1.0,0.0
0.0,13.0,Ring,0.0,0.0,255.0,1.0,0.0
0.0,1.0,Ring,0.0,255.0,0.0,1.0,0.0
0.0,6.0,Ring,0.0,255.0,0.0,1.0,0.0
0.0,4.0,Ring,0.0,255.0,0.0,1.0,0.0
0.0,5.0,Ring,0.0,255.0,0.0,1.0,0.0
0.0,2.0,Ring,0.0,255.0,0.0,1.0,0.0
0.0,12.0,Ring,0.0,0.0,255.0,1.0,0.0
0.0,3.0,Ring,0.0,255.0,0.0,1.0,0.0
0.0,0.0,Ring,0.0,255.0,0.0,1.0,0.0
0.0,8.0,Ring,0.0,0.0,255.0,1.0,0.0
0.0,9.0,Ring,0.0,0.0,255.0,1.0,0.0
0.0,7.0,Ring,0.0,255.0,0.0,1.0,0.0
0.0,0.0,Takeof,0.0,3.0,3.0,0.0,2.0
0.0,1.0,Takeof,2.121,2.121,3.0,0.0,2.0
0.0,2.0,Takeof,3.0,0.0,3.0,0.0,2.0
0.0,3.0,Takeof,2.121,-2.121,3.0,0.0,2.0
0.0,4.0,Takeof,0.0,-3.0,3.0,0.0,2.0
0.0,5.0,Takeof,-2.121,-2.121,3.0,0.0,2.0
0.0,6.0,Takeof,-3.0,0.0,3.0,0.0,2.0
0.0,7.0,Takeof,-2.121,2.121,3.0,0.0,2.0
0.0,8.0,Takeof,0.0,6.0,3.0,0.0,2.0
0.0,9.0,Takeof,0.0,5.121,5.121,0.0,2.0
0.0,10.0,Takeof,0.0,3.0,6.0,0.0,2.0
0.0,11.0,Takeof,0.0,0.879,5.121,0.0,2.0
0.0,12.0,Takeof,0.0,0.0,3.0,0.0,2.0
0.0,13.0,Takeof,0.0,0.879,0.879,0.0,2.0
0.0,14.0,Takeof,0.0,3.0,0.0,0.0,2.0
0.0,15.0,Takeof,0.0,5.121,0.879,0.0,2.0
1.0,2.0,Goto,3.0,0.0,3.0,0.0,0.042
1.0,10.0,Goto,0.0,3.0,6.0,0.0,0.042
1.0,11.0,Goto,0.0,0.879,5.121,0.0,0.042
1.0,7.0,Goto,-2.121,2.121,3.0,0.0,0.042
1.0,3.0,Goto,2.121,-2.121,3.0,0.0,0.042
1.0,5.0,Goto,-2.121,-2.121,3.0,0.0,0.042
1.0,0.0,Goto,0.0,3.0,3.0,0.0,0.042
1.0,4.0,Goto,0.0,-3.0,3.0,0.0,0.042
1.0,1.0,Goto,2.121,2.121,3.0,0.0,0.042
1.0,14.0,Goto,0.0,3.0,0.0,0.0,0.042
1.0,13.0,Goto,0.0,0.879,0.879,0.0,0.042
1.0,15.0,Goto,0.0,5.121,0.879,0.0,0.042
1.0,12.0,Goto,0.0,0.0,3.0,0.0,0.042
1.0,9.0,Goto,0.0,5.121,5.121,0.0,0.042
1.0,8.0,Goto,0.0,6.0,3.0,0.0,0.042
